messages_de,label
"['Ich habe gerade gesagt: ""eine riesige Versäumung von html imho, ist, dass Sie nicht enthalten remote Dokument Fragmente, würde für viele Bedürfnisse, die auf ""ajax"" und iframes"" geworfen werden - und einige Personen antworteten, dass Sie dies in HTML5 tun können', 'ist das richtig? Zeiger auf eine Spezifikation oder einen Abschnitt?', '<iframe>?', 'XHR.responseText‚Ä¶', 'Nah, mehr wie ein Ssi, wo das Dokument Fragment Teil des Hauptdokuments wird, nicht in seinem eigenen Rahmen/Kontext', '<iframe nahtlos>?', 'ab7faae5d7b250ea8606486575f8f79c das kann es sein, wird überprüfen', 'SSI ist serverseitig', 'und der Rest ist Details, wirklich', 'Es ist immer noch wie ein iframe im DOM, so dass es keine schrecklichen Sicherheitsprobleme einführt, sollte aber weniger wie ein unabhängiger Frame', 'ab7faae5d7b250ea8606486575f8f79c cool - cheers', '<iframe sandbox nahtlos> ganz sicher sein', 'aber es ist nur eine spezifische Form von <iframe>', 'und iframes erlauben Dokumentfragmente (wie in keinem html/head/body etc?)', 'und kann css von main doc erben?', 'früher nein, letzter ja', 'edb259c0e0038f38bb200bc20c8cbf7e, ty', 'Vollständige Dokumente benötigen keine html/head/body Tags, obwohl', 'so können Sie etwas schreiben, das sehr wie ein Fragment aussieht', 'ist doctype noch erforderlich?', 'unsere würden sagen ""<ul><li>foo</li></ul>"" w/text/html Medientyp ""gültig"" html?', 'Notwendigkeit von doctype', 'außer vielleicht in srcdoc=""""', 'Hmm, brauchen Sie auch <title>, es sei denn, es ist in srcdoc', 'ab7faae5d7b250ea8606486575f8f79c, ty das war meine nächste Frage lol', 'Vielleicht ist es dann nicht ganz so fragmentiert ;-)', 'wäre schön, wenn es einen Medientyp für html Fragmente, w/ +xml Variante für die offensichtliche', 'was ist mit der Fusion von Server-Seite falsch?', 'Cacheing, Netzwerkeffekte etc etc.', 'Jedenfalls, zufällige Gedankenreihe, über die ich nicht lange genug nachgedacht habe, um eine vollständige Diskussion zu verweigern (oder um zu hinterlegen, warum ich mich frage ;)', 'Tyvm :)', 'right... würde zuerst erforscht werden müssen, bevor wir eine Menge mehr Komplexität hinzufügen', 'genau', 'typischerweise, obwohl nicht eine zusätzliche Anfrage zu tun, gewinnt aus Caching', 'Dies ist auch z.B. warum google.com hat eine Reihe von Sachen inlined anstatt als externe Ressource']",0
"['Hallo', '15 m', '13 f', 'Hey', 'hey', 'Wie geht es? Lol', 'nur versuchen, eine litte Spaß mit jemanden hier zu haben', 'Über was willst du reden?', 'Spaß?', 'Stoffe', 'im horny', 'Mit 13?', 'ja', 'bist du horny?', 'Ein wenig', 'ok', 'Du kannst versuchen, mich hornyer zu machen, wenn du kannst', 'ich weiß nicht wie', 'tut mir leid', 'Lol es ist ok', 'Ich denke, es ist ziemlich niedlich, dass ur horny', 'Ich wette, du weißt nicht einmal, was zu tun', 'Nope', 'D:', 'Sagen Sie mir was zu tun?', 'Wollen Sie wissen?', 'ja', ':D', 'Ok, was du zuerst tun musst, ist sicherstellen, dass du allein bist', 'Familie ist draußen', 'Ok dann u wiederholen Sie Ihre Hose', 'okay', 'ok ich habe den Reißverschluss auf sie gelegt', 'Dann erreichen ur Hand in ur Höschen und reiben ur Muschi', 'okay', 'warum mache ich das?', 'Es ist, um Ihnen Freude zu fühlen', 'okay', 'ohk ich mache es..', 'Funktioniert das?', 'nicht wirklich..', 'Wie geht es?', 'seltsam..', 'Nun können Sie eine andere Sache versuchen?', 'ok', 'U kann versuchen, Ihre Muschi zu Fingern?', 'was ist das?', 'U nehmen Sie einen Finger und u schieben Sie es in Ihre Muschi und bewegen Sie es in und heraus, bis es gut fühlt', 'okay', 'warte, wie viele Finger?', 'Starten Sie mit einem und Sie können von dort gehen', 'ok', 'brb ill versuchen', 'Sagen Sie mir, wie es fühlt sich an?', 'ok', 'es fühlt sich seltsam an', 'Art von Schmerzen...', 'Nun, vielleicht ist das einfach nicht für Sie?', 'was mache ich dann?', 'Sorry idk was sonst zu sagen u', 'du hast viel Hilfe']",0
"['smartbhai: Niemand kann helfen.. wenn wir nicht wissen, was Ihr Problem ist.. wir sind keine Mind-readers....', 'virsys: im sorry, seine Art von einem seltsamen Problem, mein PC abstürzt nach dem Bootloader, ich habe die smps geändert, noch keinen Gebrauch', 'virsys: es gibt keine Überhitzungsproblem, oder schlechte Ram, als ich den Mobo in den Shop gab, sagen sie, dass es gut weckt', 'haben Sie versucht, das Laufwerk neu zu formatieren und Ihre Os neu zu installieren?', 'haben Sie überprüft, um sicherzustellen, dass alle Karten/Wähler/Anschlüsse fest sitzen/angebunden sind?', 'was genau ist dieser ""Crash""???', 'virsys: Ich habe es auch ohne die Festplatte versucht, mit einer Live-CD von ubuntu, ist das gleiche', 'sind Kabel korrekt, ich ersetzte das ide-Kabel für die Festplatte mit einem neuen', 'der Absturz, ist es nur das System einfrieren', ':)', 'hrmmm....', 'haben Sie eine andere hd in ihm versucht?', 'virsys : auch wenn es nicht hd, ich meine mit einer Live-CD auch es abstürzt... und ja ich habe es mit einer anderen Festplatte überprüfen', 'haben Sie eine andere CD-Laufwerk?', 'ja', 'virsys: Eine Sache, die ich bemerkte ist, dass, ich habe 2 psus eine 300w und andere 350w..wenn ich die 300w psu verwenden, das Problem passiert nicht, aber ich kann es nicht viel testen, da die psu selbst einige Probleme hat..', 'aahhhh', 'kaufen/beg/burrow ein psu und versuchen, dass... seine Anfänge zu klingen wie ein defektes psu...', 'auch.. überprüfen Sie die Kondensatoren auf der m/b.. sehen, ob sie verfärbt oder geschwollen sind....', 'ja, ich möchte sagen, dass.. der Dienstmann hat meine Kondensatoren komplett ersetzt, als ich ihn gab', 'Eigentlich habe ich meine Kondensatoren im Jahr 2003 ersetzt, als sie geblasen und wirklich schlecht waren..', 'dass ist, wenn all dies begann', 'die Abstürze geschah 2003 danach..', 'aahhh.... klingt wie etwas anderes getan wurde.. als die Kappe schlecht ging...', 'aber dann ersetzte ich meine dann 350w smps mit einem 300w smps und dann waren die Dinge normal', 'wie Abstürze passierte alle 6 Monate, dann alle 3 Monate, 2,1 eine Woche, ein Tag, eine Stunde wie das', 'Jetzt habe ich die Kappen wieder ersetzt.', ""besten Rat... anstatt mehr Geld zu sinken, um es zu 'fixieren'.. einfach ersetzen Sie es dann.. wenn es sich zunehmend verschlechtert hat..."", 'bis Sie es diagnostiziert bekommen, und repariert.. Sie haben wahrscheinlich 2 oder mehr neue m/b gekauft haben', 'ur Art von Recht', 'aber im Grunde habe ich 640 MB Sdram auf ihm.. so die Performance ist wirklich cool', 'Ich meine, seine Reeeal schnell..', ""Sie können nur so viel mit 'Duckband und Kautschukdraht'..."", 'die Boards cool, aber es hat diese Probs', 'ja... ich weiß was du meinst...', ""meine aktuelle m/b, ich kaufte zurück in '02, aber.. es beginnt jetzt mit Stabilitätsproblemen...etc..."", 'anstatt der Frustrationen, Zeit und Geld zu versuchen, es zu reparieren und es laufen zu lassen... ich werde es einfach diesen Sommer ersetzen...', 'virsys: oh ich sehe', 'virsys: Ich werde einen letzten Versuch geben, wie z.B. mit einem 300w arbeitenden smps.. von irgendwo, weil ich nicht eine neue bekommen werde.. nachdem das getan ist.. eigentlich muss ich ein Projekt innerhalb von 2 Monaten beenden.. und ich habe nicht viel Zeit', 'Hallo', 'Gibt es irgendwo ein Dokument, das aufzeigt, welche Ports ich scannen muss, um zu sehen, ob bestimmte Busse angeschlossen sind? zum Beispiel, haben PCI und AGP jeweils bestimmte Speicheradressen, die ich für diese Busse verwenden sollte?', 'Eigentlich scheine ich eine Seite gefunden zu haben, die genaue Antwort zu diskutieren', '<url> für diejenigen von Ihnen neugierig auf die Antwort', '<url> <- 3.400,000,000+ Benutzer können nicht falsch sein"")']",0
"['hei', 'hey', 'Asl?', '15 f Fin :)', 'u?', '15 m NY', 'Wie geht es dir?', 'ich bin in Ordnung danke :)', 'u?', 'btw, wissen Sie, was Fin ist ;D', 'nicht genau', 'Finnland :D', 'Ich dachte so', 'es ist ein nordisches Land zwischen Schweden und Russland :)', 'Recht', 'Haben Sie irgendwelche Hobbies? :)', 'nichts Interessantes', 'tun Sie?', 'Ich mache Cheerdancing :---)', 'wirklich?', 'ja:D', 'wie ist das?', 'was? :---)', 'Ich mag Tanzen? :-D', 'Wie ist Cheerdancing? Ist es Spaß?', 'ja, es ist fast wie Cheerleading ohne Stunts und wir haben Splits und Piruets', 'wie lange hast du es gemacht?', '<url>', 'nicht lange :D fast ein Jahr :---)', 'dass Video ich schickte u sind die Siren, die beste Cheerdance-Gruppe Europas :D', 'okay']",0
"['hey hast du mein Emial bekommen', 'nicht geprüft', 'ich schickte dir eine E-Mail auf myspace ich möchte, dass du sie lesen würdest bitte', 'wenn u kann', 'k', 'r u es lesen', 'ja', 'ur nicht ein Monster ur niedlich', 'ok', 'ich denke ur cool', 'du brauchst mich nicht zu bedrohen, um zu sprechen', 'wie sonst will ich mit jemand anderem reden', ""Don't neet zu spielen Spiele wit mir"", 'Ich spiele nicht, ich will mit dir reden, aber scheine', 'Ich spreche mit dir einfach nicht wissen, was zu fragen n du fuhren zu sagen, bitten bout, dass', 'ok gut ich tut mir leid', ':)', 'ich wollte es nicht sagen das wy ich sagte es', 'k', 'seine ok', 'ty für so ehrlich sein', 'du zurück?', 'können wir über die E-Mail auf myspace sprechen', 'ich denke', 'hey Engel', 'Ich wollte nur sagen, gute Nacht und süße Träume Ich gehe schlafen', 'Rückseite', 'k nite süße Träume', 'Mbah', ':)', 'O:-):-D', 'nite baby puppe']",1
"['c480405f460f7a61964569640a6cd059: Es scheint, wie Ihr Beispiel mit relativen urls tatsächlich funktionieren würde.', 'Vielleicht fehlt mir ein paar subtile Details, wie urls aufgelöst werden.', 'aboodman: die url würde jedoch gegen google.com gelöst werden, nicht?', '7d8a20281bb41e05c504c371880f1d08, anstatt gegen example.html', 'es scheint, als würde es auf <url> lösen', 'Recht', 'was dasselbe ist, was es auf relative index.html beheben würde, angenommen index.html war auch irgendwo auf <url> hosted', 'index.html ist auf myserver.com hosted', 'tut mir leid, hätte ich das gesagt haben sollen', 'cross-origin-Arbeiter sind nicht erlaubt in html5', 'ich dachte', 'cross-origin loading von js-Dateien sind', 'ich hoffe, kein Grund, nicht zu', 'Sie werden im Sicherheitskontext der Ladeseite ausführen, obwohl', 'gleich wie für <script>', 'huh', 'konsultiert die Spezifikation', 'Ich weiß, dass die ursprüngliche Spezifikation es nicht erlaubt, aber ich dachte, dass ein Fehler war', 'ich sehe nicht, warum wir das Cross-Site-Laden der Skript-Datei nicht zulassen würden, da <script> es bereits erlaubt', '""Wenn der Ursprung der resultierenden absoluten URL nicht derselbe ist wie der Ursprung des Skripts, der den Konstruktor aufgerufen hat, dann werfen Sie eine Sicherheitsexception.""', 'Bah', 'das scheißt', 'Arbeiter sind nicht wirklich dasselbe wie <script> Tags', 'ich denke, dass ist ein Teil, wo unsere geistigen Modelle unterscheiden', 'Ich stimme zu :)', 'für engagierte Arbeiter sind sie sehr ähnlich', 'Arbeiter sind wie Seiten', 'einfach aus dem Prozess', 'importScripts() ist wie <script> Tags', 'und Sie können nicht mit Fenstern kommunizieren, die Sie öffnen, die in anderen Ursprungs sind', 'so sehe ich engagierte Arbeiter als einfach ein Out-of-Prozess <script>', 'wo Sie Dinge ausladen, die Sie nicht auf dem UI-Thread ausführen möchten', 'ja, Sie sehen sie wie Fäden.', 'ich bin nicht sicher, wie man diesen Unterschied im Sehen zu lösen', 'ich denke, es ist ein Unterschied in den Anwendungsfällen', 'bah, muss auf den Bus, ich werde in ein paar Minuten wieder auf', 'ok', 'ich werde weiter tippen, da ich wahrscheinlich auch bald gehen muss', ""schnell zuerst obwohl: Sie hatten vorgeschlagen, dass wir appCodeName weg zurück, wenn. Ist das wirklich nützlich? jeder gibt 'Mozilla' zurück"", 'Heh', 'Sie meinen auf dem Navigator-Objekt, das den Arbeitern ausgesetzt ist? Ich habe gerade herausgefunden, dass wir die gleiche API unterstützen sollten, die Windows unterstützt. kein Grund, Dinge unvereinbar machen, nur für die Hölle davon.', 'Es gibt bereits Code, der mit dem Navigator-Objekt arbeitet.', 'Windows unterstützt eine Luoong-Liste', '<url>', 'ja, ich nehme an, dass das Ausstellen von Dingen an Arbeiter nicht viel zusätzliche Arbeit war.', 'ich hoffte nicht das Ganze zu tun', 'es ist schwer zu wissen, was die Menschen heute verwenden.', 'Wenn Sie einen Blick auf den Code, dass Bibliotheken verwenden, um herauszufinden, was Browser ist, was, es ist verrückt.', 'da jeder lügt, wer er ist, muss es irgendwie sein.', 'ah, ich hoffte, Sie hatten einige Daten darüber, wenn Sie ursprünglich veröffentlicht 5 von ihnen :)', 'ok, Rallye starten', 'ok.', 'ein gutes Wochenende haben']",0
"['BOOO', 'lol', 'wutcha tunin? :)', 'habe ich dich überrascht?', 'Nichts', 'du?', 'Sie haben getan', 'schrecke mich 2', 'gut:P', 'lol', 'wo ya ben', 'Arbeit', 'und das Heimfahren', 'was ist mit dir?', 'aww u arbeiten 2 hart', 'Neva', 'einfach hier sitzen wuz spielend Spiel cuz ich war verweilt', 'aww', 'du warst verweilt?', 'ja', 'nicht jetzt', 'oh ich hoffe nicht:P', 'kein Cuz ur hier', 'oh ok', 'aber ich bin nicht unter deinem Bett :P', 'bereit, deine Beine zu greifen', 'hehe', 'lol', 'du würdest mich böse erschrecken', 'wie war dein Tag?', 'oh ich weiß', 'ok kinda hagged von meiner Mutter bout leavin Müll kann in der Garage lol', 'oh wirklich', '?', 'ja', 'ich habe es in der Garage', 'Welches?', 'das 1 n mein Zimmer', 'Oh', 'Scham auf dich', 'I nein :(', 'Sie konnten es nicht aus Ihrem Fenster gießen?', 'nein, ich habe es nicht versucht', 'Sie sind da?', 'Nein', 'in der Versteckung in Ihrem Duschstall', 'warten zu springen und zu schreien boo', 'und eine Tasche', 'vor dir', ':P', 'wo gehen Sie?', 'Mütter dumm gf nahm das Handy wen im online n es bumped mir sie hatte dumm Telefon n konnte warten bis ig ot offf ooooooh ich h8 sie', 'wie kommt es ineva c u auf>?', ':(( hat uleave?', 'Ich denke, ich werde gehen. seine seltsame nicht gettin chat wit u b4 ich gehe zu Bett. n ich muss gehen 2. lol o gut hoffen, dass wir chatten 2morrow osnap sie leavin yay!!!!!!!!!!!! hoffe c u bald 2 >:D< haben guten Tag']",1
"['heyyyyyyyy', 'Hallo', 'was ist?', 'nur bekam Homeeee, du?', '....', 'von wo?', 'ein Basketballspiel.', 'hast du gespielt?', 'nopeeee. meine Schwester tat.', 'was ist Ihr Name?', 'mein Name ist Jacob', 'hat sie gewonnen?', 'mackenzieeee, und ja, sie tat es.', 'das ist cool', 'wie alt bist duuuuuu?', 'im 16', 'du?', 'sweeeet, im 15. Woher bist du?', 'Elend haha missouri', 'du?', 'New York:/', 'bleh ich wetten, es ist wirklich kalt da jetzt', 'ich habe vorher', 'jass es ist, kamst du hier für einen Urlaub oder etwas?', 'ich ging eine Woche und eine halbe nach Deutschland und blieb dann 4 Tage in ny', 'bliebst du in der Stadt?', 'ich denke so haha', 'hahaha zufällig, magst du das Nfl?', 'eh kinda', 'du?', 'Welches Team gefällt direeeee?', 'muss mit meinem Heimteam gehen.... die Cheifs', 'du?', 'lmfao ich hasse mein Heimteam mit einer Leidenschaft, ich liebeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee die Patrioten <3', 'lol das ist lustig', 'was macht dich auf Omegle zu bekommen?']",0
"['hey', 'hey girl', 'wie R u hun?', 'ok', 'u?', 'nicht 2 schlecht kam gerade nach dem Abendessen', 'kühle', 'Haben Sie noch Bilder?', 'nur die 2 ich zeigte u', 'r u horny?', 'Y?', 'Ich bin hart', 'was r u trägt?', 'Hemd und Shorts, wie PJs... ich sagte dir gestern, dass ich dun cyber', 'Ja', 'so dieses Wochenende?', 'Ja', 'du sicher?', 'ja, Mama ist 2 einiges Seminar von einer Drogenfirma laufen 2 sagen Ärzten alle abt ihre neuen Medikamente', 'sie fliegt am Freitag aus', 'mit wem wohnen Sie?', 'auf mich allein, sie lässt mich immer auf mich allein, sie sagt im big enuff 2 kümmern sich um mich selbst, und ich kann, weil ich kochen und Sachen kann', 'wow', 'wie alt r u wieder?', 'Nicht wirklich groß, aber ich kann Burger und Hot Dogs und Sachen Grillen, und im 13', 'kühle', 'würdest du darauf saugen?', 'Nack auf was?', 'mein Penis', 'und ich werde deine Muschi lecken', ':)', 'wenn du mich willst 2', 'ja', 'aber nicht sicher, ob ich es schaffen kann', 'nicht?', 'eine Art weit', 'Wie weit ist es?', 'fast 4 Stunden', 'was ist deine Adresse?', 'Ich bin in Petaluma, gib dir mal meine Addy I8r Okies?', 'ok', 'ja, ziemlich weit', 'Wie weit?', 'Ich werde dich am Freitag informieren', '3 Stunden 45 Minuten', 'ok, wenn du mich am Freitag kennst, dann gib mir meine Addy Okies?', 'ok', 'versuchen, eine Webcam zu bekommen, damit ich u sehen kann', 'schlecht versuchen, aber wie ich sagte, Mama nahm meine Cam und verkaufte sie auf ebay', 'lol', 'sie tat es nicht lustig', 'Kann ich dir einen schnellen Telefonanruf geben, so dass ich wissen kann, dass du nicht mal einen 90 Jahre alten Kerl probierst, mich zu spielen?', 'sicher', 'Wann?', 'wie jetzt?', 'du hast meine Cam gesehen, nicht du?', 'ja ich tat', 'das bin ich >>>', 'ich kann nichts sehen', 'sehen Sie mich?', 'ja, ur niedlich', 'tx', 'lass mich urs wieder sehen', 'Ich wette deine Muschi ist wirklich eng', 'ja?', 'gut, ich weiß nicht, wie eng es ist lol', 'wie viele Finger passen darin?', 'Schade, du lebst nicht näher', 'Ich würde dir so viele Sachen zeigen', 'gut du kannst noch kommen mich sehen', 'ja, aber ist ein weit drvie', 'Du willst mich natürlich sehen, du beschwerst dich immer wieder, wie weit es ist und alles :((', 'lol', 'Ich weiß', 'Ich mache es aber', 'Kann ich bei Ihnen übernachten, wenn ich gehe?', 'wenn du willst', 'wir haben ein Gästezimmer', 'wir können auf dem selben Bett schlafen', 'Ich werde dir Sachen lehren', ':)', 'Das ist Kewl, was wirst du mich lehren?', 'wir können zusammen duschen', 'wie man einen Penis berührt und es Cum machen', 'wirklich schön', 'dann werde ich dir lehren, wie man es fickt', 'Okies', 'so kann ich dir diesen Anruf geben... wie ich nur einen schnellen sagte, so dass ich deine Stimme hören kann', 'noch nicht', 'siehe, ich verlasse immer noch mit meinem Ex', 'Sie können in ein wenig', 'Ich verstehe nicht einmal deinen Namen lol. was ist das?', 'Antonio', 'das ist ein Kewl Name, ich bin Amanda', 'R u für Reals oder einfach herumspielen?', 'Ich bin total 4 realz, r u?', 'ja', 'du sicher?', 'Ja', 'damit ich es planen kann', 'Ich kann von hier am Samstag um 2 Uhr abreisen, also bin ich um 6 Uhr da', 'das klingt toll', 'Ich werde mit Ihnen übernachten und ich werde am Sonntag um 2 Uhr verlassen', 'ok?', 'klingt perfekt', 'Welche Nationalität sind Sie?', 'gut im amerikanischen aber mein Vater ist philipino', 'kühle', 'er lebt im Socal', 'kühle', 'Schule soll 2 Start 4 mich morgen so sollte ich prolly 2 Bett in etwa einer Stunde gehen', 'ok', 'So will ich prolly hier in abt eine halbe Stunde aussteigen, damit ich eine Dusche und Sachen haben kann', 'Ich wünschte, ich könnte deinen Körper waschen', 'u wird B in der Lage 2 am Samstag', 'gut, hun im ab 2 Dusche und gehen 2 Bett, schlechte Gespräche 2 u morgen oder am nächsten Tag okies hun?', 'hey', 'in der Dusche', 'reiben Sie Ihre Muschi ein wenig für mich', 'Ding ist es, dass ich fühle u', 'okies hun, nite', 'Nite']",1
"['Hallo', 'haben wir Tests bezüglich der URL-Dekomposition in HTML5', 'Ich habe nur ein paar Tests gemacht, und die Ergebnisse variieren sehr, um das kleinste zu sagen...', 'Ich denke, dass DanC vor Jahren einige Tests gemacht hat', 'nicht überraschend, die Ergebnisse für nicht-ASCII-Zeichen variieren sehr', 'kann keine Links zu ihm finden, obwohl :-(', '<url> hat einige Codierungen', 'aber ich glaube nicht, dass das mit der Zersetzung viel macht', 'Oper und Safari lassen nicht-ASCII-Zeichen allein', 'Ja, die meisten kann ich denken, mehr mit der Codierung zu beschäftigen', 'IE und Firefox utf8encodethenpercenrtescape', 'Chrom passt FF und IE, nicht Safari (ha?)', 'Portnummer standardmäßig anders', '(WebKit enthält keinen URL-Code, der für die plattformspezifische Schicht übrig bleibt)', '(so ist es anders in Safari und Chrome)', '(soweit ich weiß)', 'IE legt den führenden Slash aus dem Pfad', 'Safari entkommt %2f im Pfad', 'das ist ein totales Chaos', 'die meisten Dinge sind', '<url>', 'es scheint auch abhängig von der Basis uri; Parsing-Verhalten für Datei: ist anders']",0
